task,year,month,progress,status,comment

1.07D Gap Leader Role [Digital],2026,1,0,NotStarted,"No Data"
1.07D Gap Leader Role [Digital],2026,2,0,NotStarted,"No Data"
1.07D Gap Leader Role [Digital],2026,3,0,NotStarted,"No Data"
1.07D Gap Leader Role [Digital],2026,4,0,NotStarted,"No Data"
1.07D Gap Leader Role [Digital],2026,5,0,NotStarted,"No Data"
1.07D Gap Leader Role [Digital],2026,6,0,NotStarted,"No Data"
1.07D Gap Leader Role [Digital],2026,7,0,NotStarted,"No Data"
1.07D Gap Leader Role [Digital],2026,8,0,NotStarted,"No Data"
1.07D Gap Leader Role [Digital],2026,9,0,NotStarted,"No Data"
1.07D Gap Leader Role [Digital],2026,10,0,NotStarted,"No Data"
1.07D Gap Leader Role [Digital],2026,11,0,NotStarted,"No Data"
1.07D Gap Leader Role [Digital],2026,12,0,NotStarted,"No Data"
1.08D Supervisor Role [Digital],2026,1,0,NotStarted,"No Data"
1.08D Supervisor Role [Digital],2026,2,0,NotStarted,"No Data"
1.08D Supervisor Role [Digital],2026,3,0,NotStarted,"No Data"
1.08D Supervisor Role [Digital],2026,4,0,NotStarted,"No Data"
1.08D Supervisor Role [Digital],2026,5,0,NotStarted,"No Data"
1.08D Supervisor Role [Digital],2026,6,0,NotStarted,"No Data"
1.08D Supervisor Role [Digital],2026,7,0,NotStarted,"No Data"
1.08D Supervisor Role [Digital],2026,8,0,NotStarted,"No Data"
1.08D Supervisor Role [Digital],2026,9,0,NotStarted,"No Data"
1.08D Supervisor Role [Digital],2026,10,0,NotStarted,"No Data"
1.08D Supervisor Role [Digital],2026,11,0,NotStarted,"No Data"
1.08D Supervisor Role [Digital],2026,12,0,NotStarted,"No Data"
1.12D Standardized Work (SW) [Digital],2026,1,0,NotStarted,"No Data"	
1.12D Standardized Work (SW) [Digital],2026,2,0,NotStarted,"No Data"
1.12D Standardized Work (SW) [Digital],2026,3,0,NotStarted,"No Data"
1.12D Standardized Work (SW) [Digital],2026,4,0,NotStarted,"No Data"
1.12D Standardized Work (SW) [Digital],2026,5,0,NotStarted,"No Data"
1.12D Standardized Work (SW) [Digital],2026,6,0,NotStarted,"No Data"
1.12D Standardized Work (SW) [Digital],2026,7,0,NotStarted,"No Data"
1.12D Standardized Work (SW) [Digital],2026,8,0,NotStarted,"No Data"
1.12D Standardized Work (SW) [Digital],2026,9,0,NotStarted,"No Data"
1.12D Standardized Work (SW) [Digital],2026,10,0,NotStarted,"No Data"
1.12D Standardized Work (SW) [Digital],2026,11,0,NotStarted,"No Data"
1.12D Standardized Work (SW) [Digital],2026,12,0,NotStarted,"No Data"
1.13D Mastery Workstations [Digital],2026,1,0,NotStarted,"No Data"
1.13D Mastery Workstations [Digital],2026,2,0,NotStarted,"No Data"
1.13D Mastery Workstations [Digital],2026,3,0,NotStarted,"No Data"
1.13D Mastery Workstations [Digital],2026,4,0,NotStarted,"No Data"
1.13D Mastery Workstations [Digital],2026,5,0,NotStarted,"No Data"
1.13D Mastery Workstations [Digital],2026,6,0,NotStarted,"No Data"
1.13D Mastery Workstations [Digital],2026,7,0,NotStarted,"No Data"
1.13D Mastery Workstations [Digital],2026,8,0,NotStarted,"No Data"
1.13D Mastery Workstations [Digital],2026,9,0,NotStarted,"No Data"
1.13D Mastery Workstations [Digital],2026,10,0,NotStarted,"No Data"
1.13D Mastery Workstations [Digital],2026,11,0,NotStarted,"No Data"
1.13D Mastery Workstations [Digital],2026,12,0,NotStarted,"No Data"
2.03D Pull line at Takt Time (TT) [Digital],2026,1,0,NotStarted,"No Data"
2.03D Pull line at Takt Time (TT) [Digital],2026,2,0,NotStarted,"No Data"
2.03D Pull line at Takt Time (TT) [Digital],2026,3,0,NotStarted,"No Data"
2.03D Pull line at Takt Time (TT) [Digital],2026,4,0,NotStarted,"No Data"
2.03D Pull line at Takt Time (TT) [Digital],2026,5,0,NotStarted,"No Data"
2.03D Pull line at Takt Time (TT) [Digital],2026,6,0,NotStarted,"No Data"
2.03D Pull line at Takt Time (TT) [Digital],2026,7,0,NotStarted,"No Data"
2.03D Pull line at Takt Time (TT) [Digital],2026,8,0,NotStarted,"No Data"
2.03D Pull line at Takt Time (TT) [Digital],2026,9,0,NotStarted,"No Data"
2.03D Pull line at Takt Time (TT) [Digital],2026,10,0,NotStarted,"No Data"
2.03D Pull line at Takt Time (TT) [Digital],2026,11,0,NotStarted,"No Data"
2.03D Pull line at Takt Time (TT) [Digital],2026,12,0,NotStarted,"No Data"
2.05D Pull System / Kanban [Digital],2026,1,0,NotStarted,"No Data"
2.05D Pull System / Kanban [Digital],2026,2,0,NotStarted,"No Data"
2.05D Pull System / Kanban [Digital],2026,3,0,NotStarted,"No Data"
2.05D Pull System / Kanban [Digital],2026,4,0,NotStarted,"No Data"
2.05D Pull System / Kanban [Digital],2026,5,0,NotStarted,"No Data"
2.05D Pull System / Kanban [Digital],2026,6,0,NotStarted,"No Data"
2.05D Pull System / Kanban [Digital],2026,7,0,NotStarted,"No Data"
2.05D Pull System / Kanban [Digital],2026,8,0,NotStarted,"No Data"
2.05D Pull System / Kanban [Digital],2026,9,0,NotStarted,"No Data"
2.05D Pull System / Kanban [Digital],2026,10,0,NotStarted,"No Data"
2.05D Pull System / Kanban [Digital],2026,11,0,NotStarted,"No Data"
2.05D Pull System / Kanban [Digital],2026,12,0,NotStarted,"No Data"
3.03D OK First part,2026,1,0,NotStarted,"No Data"
3.03D OK First part,2026,2,0,NotStarted,"No Data"
3.03D OK First part,2026,3,0,NotStarted,"No Data"
3.03D OK First part,2026,4,0,NotStarted,"No Data"
3.03D OK First part,2026,5,0,NotStarted,"No Data"
3.03D OK First part,2026,6,0,NotStarted,"No Data"
3.03D OK First part,2026,7,0,NotStarted,"No Data"
3.03D OK First part,2026,8,0,NotStarted,"No Data"
3.03D OK First part,2026,9,0,NotStarted,"No Data"
3.03D OK First part,2026,10,0,NotStarted,"No Data"
3.03D OK First part,2026,11,0,NotStarted,"No Data"
3.03D OK First part,2026,12,0,NotStarted,"No Data"
3.04D Check-Do-Check [Digital],2026,1,0,NotStarted,"No Data"	
